outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
TP,1.2,1.10709,1.108378,2024-08-29 15:09:07.605000+00:00,2024-08-29 15:57:33.027000+00:00,True,1.10617,1.108378,1.107458,"[{'ts': Timestamp('2024-08-29 15:11:11.043000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.10749}]",2228,2024_08
BE,-0.2,1.10647,1.10647,2024-08-30 13:51:06.452000+00:00,2024-08-30 14:22:57.763000+00:00,True,1.10453,1.109186,1.107246,"[{'ts': Timestamp('2024-08-30 13:54:06.503000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.10726}]",2229,2024_08
BE,-0.2,1.10808,1.10808,2024-10-01 12:15:07.049000+00:00,2024-10-01 12:32:30.493000+00:00,True,1.10932,1.106344,1.107584,"[{'ts': Timestamp('2024-10-01 12:19:05.185000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.10758}]",2250,2024_10
TIME_EXIT,0.49594594594600433,1.10681,1.10578,2024-10-02 12:15:06.116000+00:00,2024-10-02 13:14:59.204000+00:00,True,1.10829,1.104738,1.106218,"[{'ts': Timestamp('2024-10-02 12:29:23.071000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.10621}]",2251,2024_10
TP,1.2,1.10457,1.103618,2024-10-03 12:03:07.949000+00:00,2024-10-03 12:24:23.890000+00:00,True,1.10525,1.103618,1.104298,"[{'ts': Timestamp('2024-10-03 12:04:42.600000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.10429}]",2252,2024_10
BE,-0.2,1.10288,1.10288,2024-10-04 12:09:06.934000+00:00,2024-10-04 12:18:25.598000+00:00,True,1.10329,1.102306,1.102716,"[{'ts': Timestamp('2024-10-04 12:14:32.086000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.10271}]",2253,2024_10
BE,-0.2,1.09782,1.09782,2024-10-07 13:54:06.214000+00:00,2024-10-07 14:05:55.746000+00:00,True,1.0969,1.099108,1.098188,"[{'ts': Timestamp('2024-10-07 14:00:50.713000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0982}]",2254,2024_10
BE,-0.2,1.0983,1.0983,2024-10-08 11:45:11.044000+00:00,2024-10-08 12:08:19.787000+00:00,True,1.09756,1.099336,1.098596,"[{'ts': Timestamp('2024-10-08 11:54:01.821000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0986}]",2255,2024_10
BE,-0.2,1.0937,1.0937,2024-10-10 14:06:07.169000+00:00,2024-10-10 14:10:57.620000+00:00,True,1.09473,1.092258,1.093288,"[{'ts': Timestamp('2024-10-10 14:08:44.240000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09328}]",2257,2024_10
BE,-0.2,1.09328,1.09328,2024-10-11 11:15:10.991000+00:00,2024-10-11 11:37:42.545000+00:00,True,1.09397,1.092314,1.093004,"[{'ts': Timestamp('2024-10-11 11:18:36.542000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09296}]",2258,2024_10
TP,1.2,1.09156,1.091252,2024-10-14 12:36:06.894000+00:00,2024-10-14 12:37:28.453000+00:00,True,1.09178,1.091252,1.091472,"[{'ts': Timestamp('2024-10-14 12:36:18.102000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09146}]",2259,2024_10
BE,-0.2,1.09134,1.09134,2024-10-15 13:24:08.275000+00:00,2024-10-15 13:31:23.759000+00:00,True,1.09211,1.090262,1.091032,"[{'ts': Timestamp('2024-10-15 13:26:47.455000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09103}]",2260,2024_10
BE,-0.2,1.08954,1.08954,2024-10-16 12:36:06.308000+00:00,2024-10-16 13:23:20.762000+00:00,True,1.09051,1.088182,1.089152,"[{'ts': Timestamp('2024-10-16 12:40:29.101000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08915}]",2261,2024_10
