config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0449,23,0.36,0,0.0,-13.74
V49_7B_0450,58,0.71,0,0.0,-13.3
V49_7B_0451,73,0.67,0,0.0,-17.14
V49_7B_0452,46,0.64,0,0.0,-13.34
V49_7B_0453,73,0.62,0,0.0,-20.53
V49_7B_0454,36,0.56,0,0.0,-12.27
V49_7B_0455,59,0.72,0,0.0,-13.54
V49_7B_0456,57,0.76,0,0.0,-11.07
V49_7B_0457,59,0.69,0,0.0,-14.08
V49_7B_0458,47,0.79,0,0.0,-8.18
V49_7B_0459,50,0.5,0,0.0,-21.75
V49_7B_0460,92,0.6,0,0.0,-29.97
V49_7B_0461,37,0.7,0,0.0,-8.59
V49_7B_0462,62,0.83,0,0.0,-8.8
V49_7B_0463,40,0.79,0,0.0,-6.73
V49_7B_0464,70,0.55,0,0.0,-24.41
V49_7B_0465,67,0.65,0,0.0,-20.04
V49_7B_0466,44,0.51,0,0.0,-16.88
V49_7B_0467,39,0.45,0,0.0,-18.83
V49_7B_0468,48,0.49,0,0.0,-19.49
V49_7B_0469,90,0.77,0,0.0,-15.69
V49_7B_0470,85,0.74,0,0.0,-17.44
V49_7B_0471,44,0.7,0,0.0,-10.64
V49_7B_0472,91,0.59,0,0.0,-30.71
V49_7B_0473,41,0.93,0,0.0,-2.06
V49_7B_0474,54,0.6,0,0.0,-16.15
V49_7B_0475,50,0.48,0,0.0,-20.68
V49_7B_0476,64,0.55,0,0.0,-22.84
V49_7B_0477,57,0.63,0,0.0,-17.7
V49_7B_0478,114,0.73,0,0.0,-25.41
V49_7B_0479,55,0.74,0,0.0,-11.72
V49_7B_0480,87,0.6,0,0.0,-29.78
V49_7B_0481,22,0.55,0,0.0,-8.49
V49_7B_0482,80,0.61,0,0.0,-23.3
V49_7B_0483,38,0.7,0,0.0,-9.64
V49_7B_0484,49,0.6,0,0.0,-14.77
V49_7B_0485,50,0.55,0,0.0,-17.92
V49_7B_0486,78,0.69,0,0.0,-18.99
V49_7B_0487,100,0.82,0,0.0,-13.51
V49_7B_0488,59,0.67,0,0.0,-13.98
V49_7B_0489,92,0.68,0,0.0,-24.89
V49_7B_0490,51,0.62,0,0.0,-14.55
V49_7B_0491,56,0.46,0,0.0,-24.09
V49_7B_0492,63,0.65,0,0.0,-18.89
V49_7B_0493,35,0.79,0,0.0,-5.73
V49_7B_0494,58,0.5,0,0.0,-25.04
V49_7B_0495,82,0.69,0,0.0,-20.65
V49_7B_0496,36,0.52,0,0.0,-14.97
V49_7B_0497,113,0.74,0,0.0,-23.08
V49_7B_0498,69,0.73,0,0.0,-14.69
V49_7B_0499,36,0.65,0,0.0,-10.29
V49_7B_0500,26,0.76,0,0.0,-4.77
V49_7B_0501,58,0.51,0,0.0,-24.76
V49_7B_0502,92,0.62,0,0.0,-28.9
V49_7B_0503,85,0.57,0,0.0,-28.18
V49_7B_0504,96,0.62,0,0.0,-30.07
V49_7B_0505,34,0.45,0,0.0,-15.96
V49_7B_0506,63,0.53,0,0.0,-26.15
V49_7B_0507,49,0.71,0,0.0,-11.71
V49_7B_0508,67,0.65,0,0.0,-18.79
V49_7B_0509,39,0.46,0,0.0,-18.54
V49_7B_0510,51,0.7,0,0.0,-12.31
V49_7B_0511,36,0.53,0,0.0,-13.04
V49_7B_0512,57,0.68,0,0.0,-15.78
V49_7B_0513,44,0.4,0,0.0,-23.87
V49_7B_0514,76,0.7,0,0.0,-17.76
V49_7B_0515,36,0.79,0,0.0,-5.55
V49_7B_0516,31,0.93,0,0.0,-1.76
V49_7B_0517,53,0.53,0,0.0,-19.49
V49_7B_0518,48,0.66,0,0.0,-13.58
V49_7B_0519,82,0.57,0,0.0,-26.9
V49_7B_0520,34,0.55,0,0.0,-12.96
V49_7B_0521,63,0.67,0,0.0,-17.31
V49_7B_0522,54,0.44,0,0.0,-24.83
V49_7B_0523,26,0.84,0,0.0,-3.13
V49_7B_0524,56,0.65,0,0.0,-16.4
V49_7B_0525,63,0.58,0,0.0,-19.81
V49_7B_0526,65,0.7,0,0.0,-16.56
V49_7B_0527,70,0.7,0,0.0,-16.43
V49_7B_0528,30,0.52,0,0.0,-11.33
V49_7B_0529,33,0.84,0,0.0,-3.8
V49_7B_0530,87,0.58,0,0.0,-28.34
V49_7B_0531,76,0.72,0,0.0,-16.73
